func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00823834
transpose(Dense)	float	2000	2000	0.0159357
transpose(Dense)	float	3000	3000	0.0482014
transpose(Dense)	float	4000	4000	0.0978869
transpose(Dense)	float	5000	5000	0.15367
transpose(Dense)	float	6000	6000	0.212617
transpose(Dense)	float	7000	7000	0.318077
transpose(Dense)	float	8000	8000	0.39417
transpose(Dense)	float	9000	9000	0.526926
transpose(Dense)	float	10000	10000	0.610807
transpose(Dense)	double	1000	1000	0.00372543
transpose(Dense)	double	2000	2000	0.0285034
transpose(Dense)	double	3000	3000	0.0729468
transpose(Dense)	double	4000	4000	0.149399
transpose(Dense)	double	5000	5000	0.228459
transpose(Dense)	double	6000	6000	0.341206
transpose(Dense)	double	7000	7000	0.450908
transpose(Dense)	double	8000	8000	0.613628
transpose(Dense)	double	9000	9000	0.748515
transpose(Dense)	double	10000	10000	0.928557
