func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0180848	110.59
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0105429	1517.61
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0279941	1928.98
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0609891	2098.74
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.120895	2067.9
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276006	72.4621
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208567	76.7138
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681885	79.1922
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62321	78.8561
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18606	78.4669
