func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.0166186	0.120347
matvec(Dense)	float	2000	2000	0.000686123	11.6597
matvec(Dense)	float	3000	3000	0.000895542	20.0996
matvec(Dense)	float	4000	4000	0.0012115	26.4135
matvec(Dense)	float	5000	5000	0.00153613	32.5494
matvec(Dense)	float	6000	6000	0.00196241	36.6895
matvec(Dense)	float	7000	7000	0.00247744	39.557
matvec(Dense)	float	8000	8000	0.00317494	40.3158
matvec(Dense)	float	9000	9000	0.00378294	42.8238
matvec(Dense)	float	10000	10000	0.00453891	44.0634
matvec(Dense)	double	1000	1000	0.000548347	3.64732
matvec(Dense)	double	2000	2000	0.00081458	9.82101
matvec(Dense)	double	3000	3000	0.00120936	14.884
matvec(Dense)	double	4000	4000	0.00183818	17.4085
matvec(Dense)	double	5000	5000	0.00249968	20.0026
matvec(Dense)	double	6000	6000	0.00346556	20.7759
matvec(Dense)	double	7000	7000	0.00442953	22.1242
matvec(Dense)	double	8000	8000	0.00568433	22.518
matvec(Dense)	double	9000	9000	0.0070938	22.8368
