func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228429	0.437773	3.50219
mscal(Dense)	float	2000	2000	0.00603562	0.662732	5.30186
mscal(Dense)	float	3000	3000	0.0120666	0.745858	5.96686
mscal(Dense)	float	4000	4000	0.0188088	0.850666	6.80533
mscal(Dense)	float	5000	5000	0.0267995	0.932855	7.46284
mscal(Dense)	float	6000	6000	0.0382913	0.940162	7.5213
mscal(Dense)	float	7000	7000	0.0512844	0.955456	7.64365
mscal(Dense)	float	8000	8000	0.0670419	0.954627	7.63701
mscal(Dense)	float	9000	9000	0.0855516	0.946797	7.57438
mscal(Dense)	float	10000	10000	0.104468	0.957232	7.65786
mscal(Dense)	double	1000	1000	0.0021389	0.467529	7.48047
mscal(Dense)	double	2000	2000	0.00614106	0.651354	10.4217
mscal(Dense)	double	3000	3000	0.0128584	0.699934	11.1989
mscal(Dense)	double	4000	4000	0.0221733	0.721589	11.5454
mscal(Dense)	double	5000	5000	0.0343779	0.727211	11.6354
mscal(Dense)	double	6000	6000	0.0491144	0.732982	11.7277
mscal(Dense)	double	7000	7000	0.0661946	0.740242	11.8439
mscal(Dense)	double	8000	8000	0.0862123	0.742353	11.8777
mscal(Dense)	double	9000	9000	0.109923	0.736882	11.7901
