func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00290215
transpose(Dense)	Dense	float	2000	2000	0.0152425
transpose(Dense)	Dense	float	3000	3000	0.0496066
transpose(Dense)	Dense	float	4000	4000	0.097035
transpose(Dense)	Dense	float	5000	5000	0.154044
transpose(Dense)	Dense	float	6000	6000	0.212667
transpose(Dense)	Dense	float	7000	7000	0.318455
transpose(Dense)	Dense	float	8000	8000	0.391555
transpose(Dense)	Dense	float	9000	9000	0.527371
transpose(Dense)	Dense	float	10000	10000	0.612193
transpose(Dense)	Dense	double	1000	1000	0.00356017
transpose(Dense)	Dense	double	2000	2000	0.0285436
transpose(Dense)	Dense	double	3000	3000	0.0737151
transpose(Dense)	Dense	double	4000	4000	0.147866
transpose(Dense)	Dense	double	5000	5000	0.229118
transpose(Dense)	Dense	double	6000	6000	0.337045
transpose(Dense)	Dense	double	7000	7000	0.453367
transpose(Dense)	Dense	double	8000	8000	0.620795
transpose(Dense)	Dense	double	9000	9000	0.75236
transpose(Dense)	Dense	double	10000	10000	0.928604
