func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00414328	482.71
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0134973	500.1
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0333314	480.028
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0609986	512.307
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.102056	529.121
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.165349	518.599
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.245611	521.148
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.348567	522.855
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.468225	533.931
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0085469	234.003
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0280836	240.354
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0639766	250.091
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.118997	262.611
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.205075	263.319
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.320932	267.191
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.474306	269.868
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.674616	270.154
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.917523	272.473
