func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0362454	4.46954
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0517832	7.03896
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102861	6.29975
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.134883	7.50651
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.169252	8.61435
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0361365	4.483
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0589906	6.17895
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.084262	7.6903
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.113479	8.92232
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144639	10.0803
