func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00246305
convert(COO,Dense)	Dense	float	2000	2000	0.00545532
convert(COO,Dense)	Dense	float	3000	3000	0.0160589
convert(COO,Dense)	Dense	float	4000	4000	0.0289529
convert(COO,Dense)	Dense	float	5000	5000	0.0433177
convert(COO,Dense)	Dense	float	6000	6000	0.0612683
convert(COO,Dense)	Dense	float	7000	7000	0.0819977
convert(COO,Dense)	Dense	float	8000	8000	0.105372
convert(COO,Dense)	Dense	float	9000	9000	0.13155
convert(COO,Dense)	Dense	float	10000	10000	0.160535
convert(COO,Dense)	Dense	double	1000	1000	0.00277643
convert(COO,Dense)	Dense	double	2000	2000	0.00876253
convert(COO,Dense)	Dense	double	3000	3000	0.0302294
convert(COO,Dense)	Dense	double	4000	4000	0.0523958
convert(COO,Dense)	Dense	double	5000	5000	0.079672
convert(COO,Dense)	Dense	double	6000	6000	0.113347
convert(COO,Dense)	Dense	double	7000	7000	0.152575
convert(COO,Dense)	Dense	double	8000	8000	0.196897
convert(COO,Dense)	Dense	double	9000	9000	0.247903
convert(COO,Dense)	Dense	double	10000	10000	0.303149
