func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00763595	261.919
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00470273	1435.34
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00906009	1765.99
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0154551	2021.99
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0258515	2088.85
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.041681	2057.29
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0606798	2109.43
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0884472	2060.55
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.121709	2054.08
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0274632	72.8248
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0875358	77.1113
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.206924	77.3229
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.402547	77.6308
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.67535	79.9585
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.07803	79.5432
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.60834	79.5852
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.29542	79.3974
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.15198	79.3153
