func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00290464
transpose(Dense)	Dense	float	2000	2000	0.0153327
transpose(Dense)	Dense	float	3000	3000	0.0493506
transpose(Dense)	Dense	float	4000	4000	0.0974538
transpose(Dense)	Dense	float	5000	5000	0.152665
transpose(Dense)	Dense	float	6000	6000	0.213625
transpose(Dense)	Dense	float	7000	7000	0.318741
transpose(Dense)	Dense	float	8000	8000	0.393405
transpose(Dense)	Dense	float	9000	9000	0.527715
transpose(Dense)	Dense	float	10000	10000	0.613531
transpose(Dense)	Dense	double	1000	1000	0.00354953
transpose(Dense)	Dense	double	2000	2000	0.0283263
transpose(Dense)	Dense	double	3000	3000	0.073556
transpose(Dense)	Dense	double	4000	4000	0.148778
transpose(Dense)	Dense	double	5000	5000	0.228761
transpose(Dense)	Dense	double	6000	6000	0.339239
transpose(Dense)	Dense	double	7000	7000	0.453307
transpose(Dense)	Dense	double	8000	8000	0.619804
transpose(Dense)	Dense	double	9000	9000	0.751743
transpose(Dense)	Dense	double	10000	10000	0.928613
