func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.001869
transpose(Dense)	Dense	float	2000	2000	0.00824488
transpose(Dense)	Dense	float	3000	3000	0.0362738
transpose(Dense)	Dense	float	4000	4000	0.0701701
transpose(Dense)	Dense	float	5000	5000	0.116886
transpose(Dense)	Dense	float	6000	6000	0.183965
transpose(Dense)	Dense	float	7000	7000	0.261163
transpose(Dense)	Dense	float	8000	8000	0.344946
transpose(Dense)	Dense	float	9000	9000	0.460819
transpose(Dense)	Dense	float	10000	10000	0.591915
transpose(Dense)	Dense	double	1000	1000	0.00327614
transpose(Dense)	Dense	double	2000	2000	0.0141518
transpose(Dense)	Dense	double	3000	3000	0.0522853
transpose(Dense)	Dense	double	4000	4000	0.0997574
transpose(Dense)	Dense	double	5000	5000	0.172322
transpose(Dense)	Dense	double	6000	6000	0.270781
transpose(Dense)	Dense	double	7000	7000	0.399985
transpose(Dense)	Dense	double	8000	8000	0.664628
transpose(Dense)	Dense	double	9000	9000	0.715189
transpose(Dense)	Dense	double	10000	10000	0.880011
