func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0164217	0.12179	
matvec(Dense)	float	2000	2000	0.000684711	11.6838	
matvec(Dense)	float	3000	3000	0.000893889	20.1367	
matvec(Dense)	float	4000	4000	0.00121061	26.433	
matvec(Dense)	float	5000	5000	0.00154326	32.399	
matvec(Dense)	float	6000	6000	0.00196454	36.6498	
matvec(Dense)	float	7000	7000	0.0024843	39.4477	
matvec(Dense)	float	8000	8000	0.00317185	40.355	
matvec(Dense)	float	9000	9000	0.00378722	42.7754	
matvec(Dense)	float	10000	10000	0.00453315	44.1194	
matvec(Dense)	double	1000	1000	0.000551434	3.62691	
matvec(Dense)	double	2000	2000	0.00080947	9.88301	
matvec(Dense)	double	3000	3000	0.0012292	14.6437	
matvec(Dense)	double	4000	4000	0.00183537	17.4352	
matvec(Dense)	double	5000	5000	0.00249274	20.0582	
matvec(Dense)	double	6000	6000	0.00345275	20.8529	
matvec(Dense)	double	7000	7000	0.00443974	22.0734	
matvec(Dense)	double	8000	8000	0.00567819	22.5424	
matvec(Dense)	double	9000	9000	0.00709177	22.8434	
