func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	8.768e-06	0.114051	0.456204	
sum	float	10000	9.4178e-06	1.06182	4.24728	
sum	float	100000	1.53888e-05	6.49823	25.9929	
sum	float	1000000	8.14604e-05	12.2759	49.1036	
sum	float	10000000	0.000774956	12.904	51.6159	
sum	float	100000000	0.00824383	12.1303	48.5211	
sum	double	1000	9.0384e-06	0.110639	0.885112	
sum	double	10000	9.5287e-06	1.04946	8.39569	
sum	double	100000	1.56151e-05	6.40406	51.2325	
sum	double	1000000	8.09936e-05	12.3467	98.7732	
sum	double	10000000	0.00504439	1.9824	15.8592	
sum	double	100000000	0.0593202	1.68577	13.4861	
