func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00304445	
transpose(Dense)	float	2000	2000	0.0157173	
transpose(Dense)	float	3000	3000	0.0488889	
transpose(Dense)	float	4000	4000	0.0988084	
transpose(Dense)	float	5000	5000	0.154818	
transpose(Dense)	float	6000	6000	0.215375	
transpose(Dense)	float	7000	7000	0.338751	
transpose(Dense)	float	8000	8000	0.403513	
transpose(Dense)	float	9000	9000	0.527993	
transpose(Dense)	float	10000	10000	0.614252	
transpose(Dense)	double	1000	1000	0.00373568	
transpose(Dense)	double	2000	2000	0.0287444	
transpose(Dense)	double	3000	3000	0.0745637	
transpose(Dense)	double	4000	4000	0.153213	
transpose(Dense)	double	5000	5000	0.229463	
transpose(Dense)	double	6000	6000	0.358157	
transpose(Dense)	double	7000	7000	0.452404	
transpose(Dense)	double	8000	8000	0.617963	
transpose(Dense)	double	9000	9000	0.754312	
transpose(Dense)	double	10000	10000	0.926866	
