func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	float	1000	1.72844e-05	0.115711	0.462845	
sv_sub	float	10000	2.42553e-05	0.824562	3.29825	
sv_sub	float	100000	0.000116372	1.71863	6.87453	
sv_sub	float	1000000	0.000827225	2.41772	9.67089	
sv_sub	float	10000000	0.0236033	0.84734	3.38936	
sv_sub	float	100000000	0.221503	0.902923	3.61169	
sv_sub	double	1000	1.74097e-05	0.114878	0.919028	
sv_sub	double	10000	3.54377e-05	0.564371	4.51497	
sv_sub	double	100000	0.000149229	1.34022	10.7218	
sv_sub	double	1000000	0.00157718	1.26809	10.1447	
sv_sub	double	10000000	0.0482432	0.414566	3.31653	
sv_sub	double	100000000	0.440611	0.453916	3.63132	
