func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0173381	0.115353	
mv_mul(Dense)	float	2000	2000	0.00158868	5.03561	
mv_mul(Dense)	float	3000	3000	0.00181376	9.92413	
mv_mul(Dense)	float	4000	4000	0.00230227	13.8993	
mv_mul(Dense)	float	5000	5000	0.00237015	21.0957	
mv_mul(Dense)	float	6000	6000	0.00273153	26.3588	
mv_mul(Dense)	float	7000	7000	0.00321887	30.4454	
mv_mul(Dense)	float	8000	8000	0.00389996	32.8209	
mv_mul(Dense)	float	9000	9000	0.00461794	35.0806	
mv_mul(Dense)	float	10000	10000	0.00527117	37.9423	
mv_mul(Dense)	double	1000	1000	0.0012749	1.56875	
mv_mul(Dense)	double	2000	2000	0.0015361	5.208	
mv_mul(Dense)	double	3000	3000	0.00193564	9.29923	
mv_mul(Dense)	double	4000	4000	0.00253457	12.6254	
mv_mul(Dense)	double	5000	5000	0.00331038	15.104	
mv_mul(Dense)	double	6000	6000	0.004207	17.1143	
mv_mul(Dense)	double	7000	7000	0.00517113	18.9514	
mv_mul(Dense)	double	8000	8000	0.0064605	19.8127	
mv_mul(Dense)	double	9000	9000	0.00798973	20.276	
