func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	2.413e-07	4.14422	16.5769	
asum	float	10000	1.3038e-06	7.66989	30.6796	
asum	float	100000	9.3541e-06	10.6905	42.762	
asum	float	1000000	1.90772e-05	52.4186	209.674	
asum	float	10000000	0.000583093	17.1499	68.5997	
asum	float	100000000	0.00853138	11.7214	46.8857	
asum	double	1000	3.263e-07	3.06466	24.5173	
asum	double	10000	7.0267e-06	1.42314	11.3851	
asum	double	100000	9.4291e-06	10.6055	84.8437	
asum	double	1000000	3.21098e-05	31.1431	249.145	
asum	double	10000000	0.00511741	1.95411	15.6329	
asum	double	100000000	0.0326263	3.06501	24.5201	
