func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00202666	0.986844	
mv_mul(Dense)	float	2000	2000	6.9592e-05	114.956	
mv_mul(Dense)	float	3000	3000	0.000229136	78.5561	
mv_mul(Dense)	float	4000	4000	0.00503208	6.3592	
mv_mul(Dense)	float	5000	5000	0.00931259	5.36907	
mv_mul(Dense)	float	6000	6000	0.0146366	4.91917	
mv_mul(Dense)	float	7000	7000	0.0204191	4.79943	
mv_mul(Dense)	float	8000	8000	0.0270241	4.73652	
mv_mul(Dense)	float	9000	9000	0.0156258	10.3675	
mv_mul(Dense)	float	10000	10000	0.0428682	4.66546	
mv_mul(Dense)	double	1000	1000	0.000144937	13.7991	
mv_mul(Dense)	double	2000	2000	0.000145789	54.874	
mv_mul(Dense)	double	3000	3000	0.005943	3.02877	
mv_mul(Dense)	double	4000	4000	0.012523	2.55529	
mv_mul(Dense)	double	5000	5000	0.0201714	2.47876	
mv_mul(Dense)	double	6000	6000	0.0300512	2.39591	
mv_mul(Dense)	double	7000	7000	0.0356757	2.74697	
mv_mul(Dense)	double	8000	8000	0.0479397	2.67002	
mv_mul(Dense)	double	9000	9000	0.0605296	2.67638	
mv_mul(Dense)	double	10000	10000	0.0646794	3.09217	
