func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	0.00228516	0.437606	3.50085	
mscal(Dense)	float	2000	2000	0.0060403	0.662219	5.29775	
mscal(Dense)	float	3000	3000	0.0120537	0.746662	5.97329	
mscal(Dense)	float	4000	4000	0.0188098	0.850622	6.80498	
mscal(Dense)	float	5000	5000	0.0267617	0.934172	7.47338	
mscal(Dense)	float	6000	6000	0.0383798	0.937993	7.50394	
mscal(Dense)	float	7000	7000	0.0514135	0.953056	7.62445	
mscal(Dense)	float	8000	8000	0.0672109	0.952226	7.61781	
mscal(Dense)	float	9000	9000	0.0859232	0.942702	7.54162	
mscal(Dense)	float	10000	10000	0.104838	0.953855	7.63084	
mscal(Dense)	double	1000	1000	0.00214745	0.465669	7.4507	
mscal(Dense)	double	2000	2000	0.00616956	0.648344	10.3735	
mscal(Dense)	double	3000	3000	0.0129133	0.696956	11.1513	
mscal(Dense)	double	4000	4000	0.0222256	0.71989	11.5182	
mscal(Dense)	double	5000	5000	0.0344735	0.725195	11.6031	
mscal(Dense)	double	6000	6000	0.0493084	0.730099	11.6816	
mscal(Dense)	double	7000	7000	0.0664362	0.737549	11.8008	
mscal(Dense)	double	8000	8000	0.0865795	0.739205	11.8273	
mscal(Dense)	double	9000	9000	0.110324	0.734204	11.7473	
