func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00229154	0.436388	
m_tanh(Dense)	float	2000	2000	0.00111106	3.60015	
m_tanh(Dense)	float	3000	3000	0.00249455	3.60787	
m_tanh(Dense)	float	4000	4000	0.00496861	3.22022	
m_tanh(Dense)	float	5000	5000	0.00884905	2.82516	
m_tanh(Dense)	float	6000	6000	0.0128454	2.80257	
m_tanh(Dense)	float	7000	7000	0.0180257	2.71834	
m_tanh(Dense)	float	8000	8000	0.023092	2.77152	
m_tanh(Dense)	float	9000	9000	0.0307555	2.63367	
m_tanh(Dense)	float	10000	10000	0.0387931	2.57778	
m_tanh(Dense)	double	1000	1000	0.000743911	1.34425	
m_tanh(Dense)	double	2000	2000	0.00290768	1.37567	
m_tanh(Dense)	double	3000	3000	0.00709609	1.2683	
m_tanh(Dense)	double	4000	4000	0.0125431	1.2756	
m_tanh(Dense)	double	5000	5000	0.0192693	1.2974	
m_tanh(Dense)	double	6000	6000	0.0282852	1.27275	
m_tanh(Dense)	double	7000	7000	0.0389643	1.25756	
m_tanh(Dense)	double	8000	8000	0.0508248	1.25923	
m_tanh(Dense)	double	9000	9000	0.0651476	1.24333	
m_tanh(Dense)	double	10000	10000	0.0798121	1.25294	
