func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_sub	float	1000	0.000454765	0.00439787	0.0263872	
vv_sub	float	10000	2.73254e-05	0.73192	4.39152	
vv_sub	float	100000	0.000118977	1.681	10.086	
vv_sub	float	1000000	0.000853574	2.34309	14.0585	
vv_sub	float	10000000	0.0295463	0.676905	4.06143	
vv_sub	float	100000000	0.243402	0.821688	4.93013	
vv_sub	double	1000	1.7396e-05	0.114969	1.37963	
vv_sub	double	10000	3.48546e-05	0.573812	6.88575	
vv_sub	double	100000	0.000145117	1.3782	16.5384	
vv_sub	double	1000000	0.00163322	1.22458	14.6949	
vv_sub	double	10000000	0.0590543	0.338672	4.06406	
vv_sub	double	100000000	0.480708	0.416053	4.99264	
