func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	0.000482637	0.0041439	0.0248634	
axpy	float	10000	0.000492833	0.0405817	0.24349	
axpy	float	100000	0.000504594	0.396358	2.37815	
axpy	float	1000000	0.000605671	3.30212	19.8127	
axpy	float	10000000	0.00168512	11.8686	71.2113	
axpy	float	100000000	0.012475	16.0321	96.1925	
axpy	double	1000	0.000429756	0.0046538	0.0558457	
axpy	double	10000	0.000451576	0.0442894	0.531472	
axpy	double	100000	0.000446172	0.448258	5.37909	
axpy	double	1000000	0.000656784	3.04514	36.5417	
axpy	double	10000000	0.00282158	7.08823	85.0588	
axpy	double	100000000	0.0244097	8.19345	98.3214	
