func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpyz	float	1000	7.2865e-06	0.27448	1.64688	
axpyz	float	10000	7.4261e-06	2.6932	16.1592	
axpyz	float	100000	1.00597e-05	19.8813	119.288	
axpyz	float	1000000	4.0247e-05	49.6931	298.159	
axpyz	float	10000000	0.00317065	6.30785	37.8471	
axpyz	float	100000000	0.0371542	5.38297	32.2978	
axpyz	double	1000	7.4038e-06	0.270132	3.24158	
axpyz	double	10000	7.612e-06	2.62743	31.5292	
axpyz	double	100000	1.17144e-05	17.073	204.876	
axpyz	double	1000000	7.41092e-05	26.9872	323.846	
axpyz	double	10000000	0.00589572	3.39229	40.7075	
axpyz	double	100000000	0.0891261	2.24401	26.9281	
