func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	6.34955e-05	15.7491	188.99	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00199293	2.0071	24.0852	
matadd(Dense,Dense,Dense)	float	3000	3000	0.00850699	1.05795	12.6954	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0162863	0.982422	11.7891	
matadd(Dense,Dense,Dense)	float	5000	5000	0.02613	0.956755	11.4811	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0379446	0.948753	11.385	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0517213	0.947386	11.3686	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0506923	1.26252	15.1502	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0698246	1.16005	13.9206	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0680527	1.46945	17.6334	
matadd(Dense,Dense,Dense)	double	1000	1000	0.00127569	0.783887	18.8133	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00738476	0.541656	12.9997	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0122115	0.737013	17.6883	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0321821	0.497171	11.9321	
matadd(Dense,Dense,Dense)	double	5000	5000	0.066114	0.378135	9.07524	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0751727	0.478897	11.4935	
matadd(Dense,Dense,Dense)	double	7000	7000	0.116695	0.419898	10.0776	
matadd(Dense,Dense,Dense)	double	8000	8000	0.0994278	0.643683	15.4484	
matadd(Dense,Dense,Dense)	double	9000	9000	0.119297	0.678978	16.2955	
matadd(Dense,Dense,Dense)	double	10000	10000	0.112201	0.891254	21.3901	
