func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00289242
transpose(Dense)	Dense	float	2000	2000	0.0154344
transpose(Dense)	Dense	float	3000	3000	0.049353
transpose(Dense)	Dense	float	4000	4000	0.0972107
transpose(Dense)	Dense	float	5000	5000	0.155138
transpose(Dense)	Dense	float	6000	6000	0.214198
transpose(Dense)	Dense	float	7000	7000	0.319509
transpose(Dense)	Dense	float	8000	8000	0.392623
transpose(Dense)	Dense	float	9000	9000	0.528449
transpose(Dense)	Dense	float	10000	10000	0.61409
transpose(Dense)	Dense	double	1000	1000	0.00361265
transpose(Dense)	Dense	double	2000	2000	0.0280107
transpose(Dense)	Dense	double	3000	3000	0.0727298
transpose(Dense)	Dense	double	4000	4000	0.148302
transpose(Dense)	Dense	double	5000	5000	0.228976
transpose(Dense)	Dense	double	6000	6000	0.337197
transpose(Dense)	Dense	double	7000	7000	0.453847
transpose(Dense)	Dense	double	8000	8000	0.621457
transpose(Dense)	Dense	double	9000	9000	0.752807
transpose(Dense)	Dense	double	10000	10000	0.92861
