func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00460169	434.623
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0131726	512.428
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0309228	517.418
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0608328	513.703
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.104853	515.004
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.161603	530.621
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.234857	545.012
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.335797	542.739
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.465007	537.626
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00818042	244.486
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0268515	251.383
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0628139	254.721
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.118482	263.754
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.203015	265.99
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.317752	269.865
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.472263	271.035
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.666153	273.586
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.909528	274.868
