func	kind	prec	M	N	time[sec]
convert(COO,Dense)	Dense	float	1000	1000	0.00238565
convert(COO,Dense)	Dense	float	2000	2000	0.00556505
convert(COO,Dense)	Dense	float	3000	3000	0.0162381
convert(COO,Dense)	Dense	float	4000	4000	0.0298284
convert(COO,Dense)	Dense	float	5000	5000	0.0448722
convert(COO,Dense)	Dense	float	6000	6000	0.0633151
convert(COO,Dense)	Dense	float	7000	7000	0.0853369
convert(COO,Dense)	Dense	float	8000	8000	0.109791
convert(COO,Dense)	Dense	float	9000	9000	0.13749
convert(COO,Dense)	Dense	float	10000	10000	0.167865
convert(COO,Dense)	Dense	double	1000	1000	0.00285091
convert(COO,Dense)	Dense	double	2000	2000	0.00880595
convert(COO,Dense)	Dense	double	3000	3000	0.0304383
convert(COO,Dense)	Dense	double	4000	4000	0.0544361
convert(COO,Dense)	Dense	double	5000	5000	0.0829937
convert(COO,Dense)	Dense	double	6000	6000	0.117752
convert(COO,Dense)	Dense	double	7000	7000	0.158872
convert(COO,Dense)	Dense	double	8000	8000	0.207166
convert(COO,Dense)	Dense	double	9000	9000	0.261232
convert(COO,Dense)	Dense	double	10000	10000	0.320084
