func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.00427079	0.234149	2.80979
matadd(Dense,Dense,Dense)	float	2000	2000	0.0139589	0.286555	3.43866
matadd(Dense,Dense,Dense)	float	3000	3000	0.0244374	0.368288	4.41946
matadd(Dense,Dense,Dense)	float	4000	4000	0.0436864	0.366246	4.39496
matadd(Dense,Dense,Dense)	float	5000	5000	0.0679703	0.367808	4.4137
matadd(Dense,Dense,Dense)	double	1000	1000	0.00414902	0.241021	5.7845
matadd(Dense,Dense,Dense)	double	2000	2000	0.0141763	0.282161	6.77187
matadd(Dense,Dense,Dense)	double	3000	3000	0.0263849	0.341104	8.1865
matadd(Dense,Dense,Dense)	double	4000	4000	0.0555572	0.287992	6.9118
matadd(Dense,Dense,Dense)	double	5000	5000	0.0863685	0.289457	6.94698
