func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.734661	0.22051
matmul(Dense,CRS,Dense)	float	1500	1500	1500	1.73738	0.209799
matmul(Dense,CRS,Dense)	float	2000	2000	2000	3.57568	0.181224
matmul(Dense,CRS,Dense)	float	2500	2500	2500	5.73265	0.17662
matmul(Dense,CRS,Dense)	float	3000	3000	3000	8.29991	0.175665
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.842901	0.192193
matmul(Dense,CRS,Dense)	double	1500	1500	1500	2.14767	0.169719
matmul(Dense,CRS,Dense)	double	2000	2000	2000	4.01414	0.161429
matmul(Dense,CRS,Dense)	double	2500	2500	2500	6.49904	0.155792
matmul(Dense,CRS,Dense)	double	3000	3000	3000	9.20367	0.158415
