func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.00569712	0.351055
mv_mul(Dense)	float	2000	2000	0.00240963	3.32001
mv_mul(Dense)	float	3000	3000	0.000213803	84.1895
mv_mul(Dense)	float	4000	4000	0.00351171	9.11236
mv_mul(Dense)	float	5000	5000	0.00685738	7.29141
mv_mul(Dense)	double	1000	1000	0.000148202	13.4951
mv_mul(Dense)	double	2000	2000	0.00015215	52.5795
mv_mul(Dense)	double	3000	3000	0.00419203	4.29386
mv_mul(Dense)	double	4000	4000	0.00916495	3.49156
mv_mul(Dense)	double	5000	5000	0.0154053	3.24563
