func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	0.000513755	0.00389291	0.00778581
nrm2	float	2000	0.000524053	0.00763281	0.0152656
nrm2	float	4000	0.000521547	0.015339	0.030678
nrm2	float	8000	0.000531623	0.0300965	0.060193
nrm2	float	16000	0.000520566	0.0614716	0.122943
nrm2	float	32000	0.000522675	0.122447	0.244894
nrm2	float	64000	0.000528359	0.242259	0.484519
nrm2	float	128000	0.000522365	0.490079	0.980158
nrm2	float	256000	0.000747876	0.684605	1.36921
nrm2	float	512000	0.000775268	1.32083	2.64167
nrm2	float	1024000	0.000786453	2.6041	5.20819
nrm2	float	2048000	0.000843987	4.85315	9.70631
nrm2	float	4096000	0.00092553	8.85114	17.7023
nrm2	float	8192000	0.0011056	14.8191	29.6382
nrm2	float	16384000	0.00145064	22.5887	45.1774
nrm2	float	32768000	0.00215857	30.3609	60.7218
nrm2	float	65536000	0.00380867	34.4141	68.8282
nrm2	double	1000	0.000758209	0.00263779	0.0105512
nrm2	double	2000	0.000762001	0.00524934	0.0209974
nrm2	double	4000	0.000761979	0.010499	0.0419959
nrm2	double	8000	0.000555416	0.0288072	0.115229
nrm2	double	16000	0.000561209	0.0570198	0.228079
nrm2	double	32000	0.000563134	0.11365	0.454598
nrm2	double	64000	0.000565227	0.226458	0.905831
nrm2	double	128000	0.00078765	0.325017	1.30007
nrm2	double	256000	0.000809953	0.632136	2.52854
nrm2	double	512000	0.000807224	1.26855	5.07418
nrm2	double	1024000	0.000870353	2.35307	9.41227
nrm2	double	2048000	0.000936624	4.37315	17.4926
nrm2	double	4096000	0.00109255	7.49808	29.9923
nrm2	double	8192000	0.00143704	11.4012	45.6049
nrm2	double	16384000	0.00212788	15.3994	61.5974
nrm2	double	32768000	0.00335297	19.5457	78.1826
nrm2	double	65536000	0.00601055	21.807	87.228
