func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00177135	1.12908
matvec(Dense)	float	2000	2000	6.37397e-05	125.51
matvec(Dense)	float	3000	3000	0.000227976	78.9556
matvec(Dense)	float	4000	4000	0.0048719	6.56828
matvec(Dense)	float	5000	5000	0.00944474	5.29395
matvec(Dense)	double	1000	1000	0.000155252	12.8823
matvec(Dense)	double	2000	2000	0.000145385	55.0262
matvec(Dense)	double	3000	3000	0.00584969	3.07709
matvec(Dense)	double	4000	4000	0.0128313	2.4939
matvec(Dense)	double	5000	5000	0.0203303	2.45939
