func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00103639	0.0781562	0.62525
mscal(CRS)	float	2000	2000	2.64902e-05	6.11547	48.9238
mscal(CRS)	float	4000	4000	3.96515e-05	8.17119	65.3695
mscal(CRS)	float	8000	8000	7.13479e-05	9.08226	72.6581
mscal(CRS)	float	16000	16000	0.000133324	9.72069	77.7655
mscal(CRS)	float	32000	32000	0.000231373	11.2027	89.6214
mscal(CRS)	float	64000	64000	0.00108559	4.7753	38.2024
mscal(CRS)	double	1000	1000	3.07085e-05	2.63771	42.2033
mscal(CRS)	double	2000	2000	3.92181e-05	4.13075	66.0919
mscal(CRS)	double	4000	4000	6.6084e-05	4.90285	78.4456
mscal(CRS)	double	8000	8000	0.000128248	5.05272	80.8436
mscal(CRS)	double	16000	16000	0.000240459	5.38969	86.2351
mscal(CRS)	double	32000	32000	0.000954948	2.71429	43.4286
mscal(CRS)	double	64000	64000	0.00855206	0.60617	9.69872
