func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228825	0.437014	3.49611
mscal(Dense)	float	2000	2000	0.0060459	0.661606	5.29285
mscal(Dense)	float	3000	3000	0.0120704	0.745624	5.96499
mscal(Dense)	float	4000	4000	0.0188669	0.848046	6.78437
mscal(Dense)	float	5000	5000	0.0268104	0.932473	7.45978
mscal(Dense)	double	1000	1000	0.00213304	0.468813	7.50101
mscal(Dense)	double	2000	2000	0.00611247	0.6544	10.4704
mscal(Dense)	double	3000	3000	0.0128371	0.701094	11.2175
mscal(Dense)	double	4000	4000	0.022162	0.721957	11.5513
mscal(Dense)	double	5000	5000	0.0342724	0.72945	11.6712
