func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.000985312	0.164415	0.986489
matadd(CRS,CRS,CRS)	float	2000	2000	4.07204e-05	7.9567	47.7402
matadd(CRS,CRS,CRS)	float	4000	4000	7.4476e-05	8.70079	52.2047
matadd(CRS,CRS,CRS)	float	8000	8000	0.000157021	8.25367	49.522
matadd(CRS,CRS,CRS)	float	16000	16000	0.000299051	8.66741	52.0045
matadd(CRS,CRS,CRS)	float	32000	32000	0.00369008	1.40485	8.42908
matadd(CRS,CRS,CRS)	float	64000	64000	0.0099905	1.03779	6.22671
matadd(CRS,CRS,CRS)	double	1000	1000	4.14436e-05	3.90893	46.9071
matadd(CRS,CRS,CRS)	double	2000	2000	7.18697e-05	4.50816	54.0979
matadd(CRS,CRS,CRS)	double	4000	4000	0.000145214	4.46238	53.5485
matadd(CRS,CRS,CRS)	double	8000	8000	0.00029633	4.3735	52.482
matadd(CRS,CRS,CRS)	double	16000	16000	0.00231142	1.12139	13.4567
matadd(CRS,CRS,CRS)	double	32000	32000	0.00978312	0.529892	6.35871
matadd(CRS,CRS,CRS)	double	64000	64000	0.0216553	0.478775	5.7453
