func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.0038351	0.0422414
matvec(CRS)	float	2000	2000	4.19064e-05	7.73152
matvec(CRS)	float	4000	4000	7.55415e-05	8.57807
matvec(CRS)	float	8000	8000	0.000149364	8.6768
matvec(CRS)	float	16000	16000	0.00030838	8.40522
matvec(CRS)	float	32000	32000	0.00110623	4.6862
matvec(CRS)	float	64000	64000	0.00541162	1.91588
matvec(CRS)	double	1000	1000	2.58788e-05	6.25995
matvec(CRS)	double	2000	2000	4.71917e-05	6.86561
matvec(CRS)	double	4000	4000	8.66416e-05	7.47909
matvec(CRS)	double	8000	8000	0.000176073	7.36059
matvec(CRS)	double	16000	16000	0.000385062	6.73138
matvec(CRS)	double	32000	32000	0.00379818	1.36486
matvec(CRS)	double	64000	64000	0.00914236	1.13406
