func	prec	M	N	time[sec]
convert(COO,CRS)	float	1000	1000	0.000667687
convert(COO,CRS)	float	2000	2000	0.00133165
convert(COO,CRS)	float	4000	4000	0.0021492
convert(COO,CRS)	float	8000	8000	0.00507477
convert(COO,CRS)	float	16000	16000	0.00999531
convert(COO,CRS)	float	32000	32000	0.0245948
convert(COO,CRS)	float	64000	64000	0.0475459
convert(COO,CRS)	double	1000	1000	0.000364883
convert(COO,CRS)	double	2000	2000	0.00071067
convert(COO,CRS)	double	4000	4000	0.00170559
convert(COO,CRS)	double	8000	8000	0.00423035
convert(COO,CRS)	double	16000	16000	0.0112533
convert(COO,CRS)	double	32000	32000	0.0308543
convert(COO,CRS)	double	64000	64000	0.0669867
