func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_div	float	1000	1.62097e-05	0.123383	0.493532
sv_div	float	2000	1.95186e-05	0.204933	0.819731
sv_div	float	4000	1.97251e-05	0.405575	1.6223
sv_div	float	8000	2.84099e-05	0.563184	2.25274
sv_div	float	16000	3.36271e-05	0.951613	3.80645
sv_div	float	32000	5.61797e-05	1.1392	4.55681
sv_div	float	64000	8.61904e-05	1.48508	5.94034
sv_div	float	128000	0.000217045	1.17948	4.71792
sv_div	float	256000	0.000263023	1.9466	7.78638
sv_div	float	512000	0.000515459	1.98658	7.94631
sv_div	float	1024000	0.000902797	2.26851	9.07402
sv_div	float	2048000	0.00167908	2.43943	9.75771
sv_div	float	4096000	0.00476971	1.7175	6.87001
sv_div	float	8192000	0.0158289	1.03507	4.14028
sv_div	float	16384000	0.0387698	0.845193	3.38077
sv_div	float	32768000	0.0746176	0.878292	3.51317
sv_div	float	65536000	0.159893	0.819749	3.279
sv_div	double	1000	1.82024e-05	0.109876	0.879005
sv_div	double	2000	2.01403e-05	0.198607	1.58885
sv_div	double	4000	2.40042e-05	0.333275	2.6662
sv_div	double	8000	3.25261e-05	0.491913	3.9353
sv_div	double	16000	4.9332e-05	0.648666	5.18933
sv_div	double	32000	7.92811e-05	0.807254	6.45803
sv_div	double	64000	0.000124145	1.03106	8.24845
sv_div	double	128000	0.000232666	1.10029	8.8023
sv_div	double	256000	0.000428274	1.1955	9.56396
sv_div	double	512000	0.00074984	1.36563	10.925
sv_div	double	1024000	0.00150787	1.35821	10.8657
sv_div	double	2048000	0.00452888	0.904418	7.23535
sv_div	double	4096000	0.0160248	0.511208	4.08966
sv_div	double	8192000	0.0422551	0.38774	3.10192
sv_div	double	16384000	0.0783308	0.418328	3.34663
sv_div	double	32768000	0.175436	0.37356	2.98848
sv_div	double	65536000	0.335928	0.390179	3.12143
