func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0058707	340.675
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0136015	496.269
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0314912	508.078
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0609625	512.61
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.104361	517.435
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.1627	527.042
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.236304	541.676
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.339603	536.656
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.449095	556.675
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00939559	212.866
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.028152	239.77
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0639767	250.091
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.117221	266.589
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.198319	272.289
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.311022	275.704
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.456234	280.558
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.658533	276.751
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.909281	274.942
