func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0178577	111.997
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00492612	1370.25
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0100447	1592.87
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0170109	1837.06
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0258665	2087.64
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.0414417	2069.17
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0611714	2092.48
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0885655	2057.8
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.121517	2057.32
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0277029	72.1946
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0876253	77.0325
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.207301	77.1824
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.403788	77.3921
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.678268	79.6146
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.08529	79.0111
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.61459	79.2769
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.30444	79.0863
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.16673	78.9458
