func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.95935e-05	16.7804	201.364
matadd(Dense,Dense,Dense)	float	2000	2000	0.00214451	1.86523	22.3827
matadd(Dense,Dense,Dense)	float	3000	3000	0.0107244	0.83921	10.0705
matadd(Dense,Dense,Dense)	float	4000	4000	0.0206448	0.775012	9.30014
matadd(Dense,Dense,Dense)	float	5000	5000	0.0326534	0.765617	9.18741
matadd(Dense,Dense,Dense)	double	1000	1000	0.000105691	9.46155	227.077
matadd(Dense,Dense,Dense)	double	2000	2000	0.00926642	0.431666	10.36
matadd(Dense,Dense,Dense)	double	3000	3000	0.0163262	0.551263	13.2303
matadd(Dense,Dense,Dense)	double	4000	4000	0.0424584	0.37684	9.04415
matadd(Dense,Dense,Dense)	double	5000	5000	0.0617319	0.404977	9.71945
