func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.0255618	0.00633758
mv_mul(CRS)	float	2000	2000	0.000898064	0.360776
mv_mul(CRS)	float	4000	4000	0.000907866	0.713761
mv_mul(CRS)	float	8000	8000	0.00093085	1.39228
mv_mul(CRS)	float	16000	16000	0.00098593	2.62899
mv_mul(CRS)	float	32000	32000	0.00176172	2.94258
mv_mul(CRS)	float	64000	64000	0.00249074	4.16261
mv_mul(CRS)	double	1000	1000	0.000895387	0.180927
mv_mul(CRS)	double	2000	2000	0.000907706	0.356944
mv_mul(CRS)	double	4000	4000	0.000921983	0.702833
mv_mul(CRS)	double	8000	8000	0.00089458	1.44872
mv_mul(CRS)	double	16000	16000	0.00146094	1.7742
mv_mul(CRS)	double	32000	32000	0.00193416	2.68023
mv_mul(CRS)	double	64000	64000	0.00290725	3.56625
