func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(CRS)	float	1000	1000	0.00175534	0.0922898
matvec(CRS)	float	2000	2000	4.3227e-05	7.49532
matvec(CRS)	float	4000	4000	7.85179e-05	8.2529
matvec(CRS)	float	8000	8000	0.000155586	8.32979
matvec(CRS)	float	16000	16000	0.000330233	7.84902
matvec(CRS)	float	32000	32000	0.00119527	4.33708
matvec(CRS)	float	64000	64000	0.00784001	1.32245
matvec(CRS)	double	1000	1000	2.90402e-05	5.57847
matvec(CRS)	double	2000	2000	4.85341e-05	6.67572
matvec(CRS)	double	4000	4000	8.81167e-05	7.35388
matvec(CRS)	double	8000	8000	0.000190691	6.79633
matvec(CRS)	double	16000	16000	0.000403708	6.42049
matvec(CRS)	double	32000	32000	0.00489732	1.05854
matvec(CRS)	double	64000	64000	0.0127158	0.815366
