func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.0011375	0.0712087	0.569669
mscal(CRS)	float	2000	2000	0.00138217	0.117207	0.937656
mscal(CRS)	float	4000	4000	0.00181737	0.178279	1.42623
mscal(CRS)	float	8000	8000	0.00266465	0.243184	1.94547
mscal(CRS)	float	16000	16000	0.00402813	0.321738	2.5739
mscal(CRS)	float	32000	32000	0.00648006	0.399997	3.19997
mscal(CRS)	float	64000	64000	0.0120716	0.429438	3.43551
mscal(CRS)	double	1000	1000	0.00100664	0.0804659	1.28745
mscal(CRS)	double	2000	2000	0.00123153	0.131544	2.1047
mscal(CRS)	double	4000	4000	0.0016957	0.191072	3.05715
mscal(CRS)	double	8000	8000	0.00256983	0.252157	4.03451
mscal(CRS)	double	16000	16000	0.00430635	0.300951	4.81522
mscal(CRS)	double	32000	32000	0.00770496	0.336407	5.3825
mscal(CRS)	double	64000	64000	0.0146902	0.352889	5.64622
