func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	6.98786e-05	14.3105	171.726
matadd(Dense,Dense,Dense)	float	2000	2000	0.00193417	2.06807	24.8169
matadd(Dense,Dense,Dense)	float	3000	3000	0.00848142	1.06114	12.7337
matadd(Dense,Dense,Dense)	float	4000	4000	0.0161627	0.989934	11.8792
matadd(Dense,Dense,Dense)	float	5000	5000	0.026612	0.939426	11.2731
matadd(Dense,Dense,Dense)	double	1000	1000	9.9979e-05	10.0021	240.05
matadd(Dense,Dense,Dense)	double	2000	2000	0.00730505	0.547566	13.1416
matadd(Dense,Dense,Dense)	double	3000	3000	0.0184959	0.486594	11.6783
matadd(Dense,Dense,Dense)	double	4000	4000	0.020225	0.791099	18.9864
matadd(Dense,Dense,Dense)	double	5000	5000	0.050752	0.492592	11.8222
