func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00175234	0.570665	4.56532
mscal(Dense)	float	2000	2000	9.89371e-05	40.4297	323.438
mscal(Dense)	float	3000	3000	0.000267139	33.6904	269.523
mscal(Dense)	float	4000	4000	0.00556701	2.87407	22.9926
mscal(Dense)	float	5000	5000	0.0106824	2.3403	18.7224
mscal(Dense)	double	1000	1000	5.13175e-05	19.4865	311.784
mscal(Dense)	double	2000	2000	0.000206355	19.3841	310.145
mscal(Dense)	double	3000	3000	0.00677654	1.32811	21.2498
mscal(Dense)	double	4000	4000	0.0138816	1.15261	18.4417
mscal(Dense)	double	5000	5000	0.0220426	1.13417	18.1467
