func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.00283685	57.1056
matmul(Dense,CRS,Dense)	float	1500	1500	1500	0.0064483	56.5266
matmul(Dense,CRS,Dense)	float	2000	2000	2000	0.011749	55.1538
matmul(Dense,CRS,Dense)	float	2500	2500	2500	0.0209058	48.4316
matmul(Dense,CRS,Dense)	float	3000	3000	3000	0.0300398	48.5355
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.0154034	10.5172
matmul(Dense,CRS,Dense)	double	1500	1500	1500	0.0316925	11.5012
matmul(Dense,CRS,Dense)	double	2000	2000	2000	0.0535159	12.1086
matmul(Dense,CRS,Dense)	double	2500	2500	2500	0.0847186	11.9513
matmul(Dense,CRS,Dense)	double	3000	3000	3000	0.124144	11.7444
