func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	float	1000	0.00182823	0.00109396	0.00656373
vv_mul	float	2000	0.00182771	0.00218853	0.0131312
vv_mul	float	4000	0.00184046	0.00434675	0.0260805
vv_mul	float	8000	0.00187385	0.00853859	0.0512315
vv_mul	float	16000	0.00194853	0.0164227	0.0985359
vv_mul	float	32000	0.00226271	0.0282847	0.169708
vv_mul	float	64000	0.00261366	0.0489734	0.293841
vv_mul	float	128000	0.00361723	0.0707723	0.424634
vv_mul	float	256000	0.0044889	0.114059	0.684355
vv_mul	float	512000	0.00701135	0.146049	0.876293
vv_mul	float	1024000	0.0119309	0.171655	1.02993
vv_mul	float	2048000	0.0209424	0.195584	1.1735
vv_mul	float	4096000	0.0399054	0.205285	1.23171
vv_mul	float	8192000	0.081293	0.201543	1.20926
vv_mul	float	16384000	0.157103	0.208576	1.25146
vv_mul	float	32768000	0.309996	0.211409	1.26846
