func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0174301	0.114744
mv_mul(Dense)	float	2000	2000	0.00158892	5.03487
mv_mul(Dense)	float	3000	3000	0.00181376	9.92411
mv_mul(Dense)	float	4000	4000	0.00232565	13.7596
mv_mul(Dense)	float	5000	5000	0.00236469	21.1444
mv_mul(Dense)	double	1000	1000	0.00166284	1.20276
mv_mul(Dense)	double	2000	2000	0.00160736	4.9771
mv_mul(Dense)	double	3000	3000	0.00197941	9.09364
mv_mul(Dense)	double	4000	4000	0.0025242	12.6773
mv_mul(Dense)	double	5000	5000	0.00329732	15.1638
