func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	float	1000	0.00183443	0.00109026	0.00436102
sv_mul	float	2000	0.00183688	0.00217761	0.00871043
sv_mul	float	4000	0.00185417	0.0043146	0.0172584
sv_mul	float	8000	0.0018824	0.00849978	0.0339991
sv_mul	float	16000	0.00194587	0.0164451	0.0657803
sv_mul	float	32000	0.00226895	0.0282068	0.112827
sv_mul	float	64000	0.00259558	0.0493147	0.197259
sv_mul	float	128000	0.00350577	0.0730226	0.29209
sv_mul	float	256000	0.00442908	0.1156	0.462398
sv_mul	float	512000	0.00693272	0.147705	0.590822
sv_mul	float	1024000	0.0121274	0.168873	0.675493
sv_mul	float	2048000	0.0208154	0.196778	0.78711
sv_mul	float	4096000	0.0392848	0.208529	0.834115
sv_mul	float	8192000	0.0802098	0.204264	0.817057
sv_mul	float	16384000	0.154537	0.21204	0.848162
sv_mul	float	32768000	0.30281	0.216426	0.865705
