func	prec	M	N	time[sec]
convert(COO,CRS)	float	1000	1000	0.000657624
convert(COO,CRS)	float	2000	2000	0.0013298
convert(COO,CRS)	float	4000	4000	0.00223632
convert(COO,CRS)	float	8000	8000	0.00494192
convert(COO,CRS)	float	16000	16000	0.0100371
convert(COO,CRS)	float	32000	32000	0.0245516
convert(COO,CRS)	float	64000	64000	0.047468
convert(COO,CRS)	double	1000	1000	0.000365524
convert(COO,CRS)	double	2000	2000	0.000712515
convert(COO,CRS)	double	4000	4000	0.00164737
convert(COO,CRS)	double	8000	8000	0.00422004
convert(COO,CRS)	double	16000	16000	0.0112054
convert(COO,CRS)	double	32000	32000	0.0308093
convert(COO,CRS)	double	64000	64000	0.0667357
