func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	0.000498597	0.00200563	0.00802251
asum	float	2000	0.000504923	0.003961	0.015844
asum	float	4000	0.0005048	0.00792393	0.0316957
asum	float	8000	0.000514453	0.0155505	0.062202
asum	float	16000	0.000519471	0.0308006	0.123202
asum	float	32000	0.000503838	0.0635124	0.25405
asum	float	64000	0.000515405	0.124174	0.496696
asum	float	128000	0.00051417	0.248945	0.99578
asum	float	256000	0.000743897	0.344134	1.37654
asum	float	512000	0.000751814	0.68102	2.72408
asum	float	1024000	0.000776697	1.3184	5.27361
asum	float	2048000	0.000833886	2.45597	9.82388
asum	float	4096000	0.000908194	4.51005	18.0402
asum	float	8192000	0.0010887	7.52458	30.0983
asum	float	16384000	0.00143242	11.4379	45.7518
asum	float	32768000	0.00211794	15.4716	61.8864
asum	float	65536000	0.00337005	19.4466	77.7864
asum	double	1000	0.000673854	0.001484	0.011872
asum	double	2000	0.000670861	0.00298124	0.02385
asum	double	4000	0.000672403	0.00594882	0.0475905
asum	double	8000	0.000472355	0.0169364	0.135491
asum	double	16000	0.000467531	0.0342223	0.273778
asum	double	32000	0.000470821	0.0679664	0.543731
asum	double	64000	0.00046034	0.139028	1.11222
asum	double	128000	0.000667797	0.191675	1.5334
asum	double	256000	0.000686563	0.372872	2.98297
asum	double	512000	0.000700517	0.730889	5.84711
asum	double	1024000	0.000730961	1.4009	11.2072
asum	double	2048000	0.000813479	2.51758	20.1407
asum	double	4096000	0.000972675	4.21107	33.6886
asum	double	8192000	0.00129841	6.30927	50.4742
asum	double	16384000	0.00194145	8.43903	67.5123
asum	double	32768000	0.00342306	9.57272	76.5818
asum	double	65536000	0.0057838	11.331	90.6477
