func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00146296	0.110735	0.664408
matadd(CRS,CRS,CRS)	float	2000	2000	0.00202008	0.16039	0.96234
matadd(CRS,CRS,CRS)	float	4000	4000	0.0031103	0.20834	1.25004
matadd(CRS,CRS,CRS)	float	8000	8000	0.00517882	0.25025	1.5015
matadd(CRS,CRS,CRS)	float	16000	16000	0.008649	0.299688	1.79813
matadd(CRS,CRS,CRS)	float	32000	32000	0.0153482	0.337759	2.02656
matadd(CRS,CRS,CRS)	float	64000	64000	0.0282053	0.367591	2.20554
matadd(CRS,CRS,CRS)	double	1000	1000	0.0012933	0.125261	1.50313
matadd(CRS,CRS,CRS)	double	2000	2000	0.0019606	0.165256	1.98307
matadd(CRS,CRS,CRS)	double	4000	4000	0.0030023	0.215834	2.59001
matadd(CRS,CRS,CRS)	double	8000	8000	0.0051819	0.250101	3.00121
matadd(CRS,CRS,CRS)	double	16000	16000	0.00977926	0.265051	3.18061
matadd(CRS,CRS,CRS)	double	32000	32000	0.0183826	0.282006	3.38407
matadd(CRS,CRS,CRS)	double	64000	64000	0.0361048	0.287164	3.44597
