func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179464	111.443
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00492687	1370.04
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.00982302	1628.83
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0166967	1871.62
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0258176	2091.6
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.0410568	2088.57
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0602608	2124.1
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0880909	2068.88
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.122176	2046.23
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276044	72.4523
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0880647	76.6482
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208555	76.7183
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.405944	76.9811
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681757	79.2072
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.08859	78.7714
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62282	78.8752
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31629	78.6818
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18369	78.5253
