func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.0164506	0.121576
matvec(Dense)	float	2000	2000	0.000727085	11.0028
matvec(Dense)	float	3000	3000	0.000898002	20.0445
matvec(Dense)	float	4000	4000	0.00121256	26.3904
matvec(Dense)	float	5000	5000	0.00153798	32.5102
matvec(Dense)	double	1000	1000	0.000583152	3.42963
matvec(Dense)	double	2000	2000	0.000852139	9.38814
matvec(Dense)	double	3000	3000	0.0012247	14.6975
matvec(Dense)	double	4000	4000	0.00182598	17.5249
matvec(Dense)	double	5000	5000	0.00249417	20.0468
