func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00267328	0.374072
m_tanh(Dense)	float	2000	2000	0.00109958	3.63777
m_tanh(Dense)	float	3000	3000	0.0024929	3.61025
m_tanh(Dense)	float	4000	4000	0.00486441	3.28919
m_tanh(Dense)	float	5000	5000	0.0087849	2.84579
m_tanh(Dense)	double	1000	1000	0.000728864	1.372
m_tanh(Dense)	double	2000	2000	0.00290716	1.37591
m_tanh(Dense)	double	3000	3000	0.00700942	1.28399
m_tanh(Dense)	double	4000	4000	0.0124584	1.28427
m_tanh(Dense)	double	5000	5000	0.0196405	1.27288
