func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00722936	276.65
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0132781	508.357
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0312002	512.817
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0602966	518.271
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.104874	514.905
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.159785	536.658
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.238556	536.561
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.334665	544.574
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.450632	554.776
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00867609	230.519
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0283904	237.757
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0626453	255.406
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.116093	269.181
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.195756	275.854
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.307651	278.725
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.453481	282.261
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.663222	274.795
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.910752	274.498
