func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00116732	0.13878	0.83268
matadd(CRS,CRS,CRS)	float	2000	2000	4.17029e-05	7.76924	46.6155
matadd(CRS,CRS,CRS)	float	4000	4000	7.62483e-05	8.49855	50.9913
matadd(CRS,CRS,CRS)	float	8000	8000	0.000158014	8.20179	49.2108
matadd(CRS,CRS,CRS)	float	16000	16000	0.000295588	8.76896	52.6137
matadd(CRS,CRS,CRS)	float	32000	32000	0.00366411	1.4148	8.48883
matadd(CRS,CRS,CRS)	float	64000	64000	0.0100036	1.03643	6.21856
matadd(CRS,CRS,CRS)	double	1000	1000	4.38204e-05	3.69691	44.3629
matadd(CRS,CRS,CRS)	double	2000	2000	7.40192e-05	4.37724	52.5269
matadd(CRS,CRS,CRS)	double	4000	4000	0.000143704	4.50926	54.1111
matadd(CRS,CRS,CRS)	double	8000	8000	0.000312298	4.14989	49.7986
matadd(CRS,CRS,CRS)	double	16000	16000	0.00243145	1.06603	12.7924
matadd(CRS,CRS,CRS)	double	32000	32000	0.00993069	0.522018	6.26421
matadd(CRS,CRS,CRS)	double	64000	64000	0.0210547	0.492431	5.90917
