func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00836063	239.217
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00468342	1441.25
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00896836	1784.05
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0156381	1998.32
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0259034	2084.67
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0411397	2084.36
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0606423	2110.74
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0882153	2065.97
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122501	2040.81
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0275008	72.7252
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0879575	76.7416
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.207564	77.0848
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.403755	77.3985
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.678636	79.5714
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08516	79.0209
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61484	79.265
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.30451	79.0839
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.16634	78.9555
