func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00207608	0.481678
m_tanh(Dense)	float	2000	2000	0.00109595	3.64982
m_tanh(Dense)	float	3000	3000	0.00250067	3.59903
m_tanh(Dense)	float	4000	4000	0.00492296	3.25007
m_tanh(Dense)	float	5000	5000	0.00879008	2.84412
m_tanh(Dense)	float	6000	6000	0.0126411	2.84786
m_tanh(Dense)	float	7000	7000	0.0177411	2.76195
m_tanh(Dense)	float	8000	8000	0.0233905	2.73615
m_tanh(Dense)	float	9000	9000	0.0302404	2.67853
m_tanh(Dense)	float	10000	10000	0.0405951	2.46335
m_tanh(Dense)	double	1000	1000	0.000738416	1.35425
m_tanh(Dense)	double	2000	2000	0.00291412	1.37263
m_tanh(Dense)	double	3000	3000	0.00697404	1.2905
m_tanh(Dense)	double	4000	4000	0.0124092	1.28937
m_tanh(Dense)	double	5000	5000	0.0195872	1.27634
m_tanh(Dense)	double	6000	6000	0.0279973	1.28584
m_tanh(Dense)	double	7000	7000	0.0390666	1.25427
m_tanh(Dense)	double	8000	8000	0.0504753	1.26795
m_tanh(Dense)	double	9000	9000	0.0644479	1.25683
m_tanh(Dense)	double	10000	10000	0.0794146	1.25921
