func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00157453	0.635111	5.08089
mscal(Dense)	float	2000	2000	9.77365e-05	40.9264	327.411
mscal(Dense)	float	3000	3000	0.000276467	32.5536	260.428
mscal(Dense)	float	4000	4000	0.00590414	2.70996	21.6797
mscal(Dense)	float	5000	5000	0.0117196	2.13318	17.0654
mscal(Dense)	float	6000	6000	0.0176713	2.0372	16.2976
mscal(Dense)	float	7000	7000	0.0243351	2.01355	16.1084
mscal(Dense)	float	8000	8000	0.031471	2.03362	16.2689
mscal(Dense)	float	9000	9000	0.0414297	1.95512	15.641
mscal(Dense)	float	10000	10000	0.0476278	2.09961	16.7969
mscal(Dense)	double	1000	1000	5.01594e-05	19.9364	318.983
mscal(Dense)	double	2000	2000	0.00019734	20.2696	324.314
mscal(Dense)	double	3000	3000	0.00739283	1.2174	19.4783
mscal(Dense)	double	4000	4000	0.0135704	1.17904	18.8646
mscal(Dense)	double	5000	5000	0.0248876	1.00451	16.0722
mscal(Dense)	double	6000	6000	0.0334212	1.07716	17.2346
mscal(Dense)	double	7000	7000	0.0499806	0.980381	15.6861
mscal(Dense)	double	8000	8000	0.0427977	1.49541	23.9265
mscal(Dense)	double	9000	9000	0.0556548	1.4554	23.2864
mscal(Dense)	double	10000	10000	0.0966231	1.03495	16.5592
