func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.0173126	0.115523
mv_mul(Dense)	float	2000	2000	0.00158144	5.05868
mv_mul(Dense)	float	3000	3000	0.00180909	9.94973
mv_mul(Dense)	float	4000	4000	0.00230982	13.8539
mv_mul(Dense)	float	5000	5000	0.00236346	21.1554
mv_mul(Dense)	float	6000	6000	0.00299751	24.0199
mv_mul(Dense)	float	7000	7000	0.00321752	30.4583
mv_mul(Dense)	float	8000	8000	0.0038942	32.8694
mv_mul(Dense)	float	9000	9000	0.00463829	34.9267
mv_mul(Dense)	float	10000	10000	0.00526052	38.0191
mv_mul(Dense)	double	1000	1000	0.00125766	1.59026
mv_mul(Dense)	double	2000	2000	0.00152611	5.2421
mv_mul(Dense)	double	3000	3000	0.00192683	9.34176
mv_mul(Dense)	double	4000	4000	0.00251913	12.7028
mv_mul(Dense)	double	5000	5000	0.00330231	15.1409
mv_mul(Dense)	double	6000	6000	0.00418263	17.214
mv_mul(Dense)	double	7000	7000	0.00516326	18.9803
mv_mul(Dense)	double	8000	8000	0.00645749	19.822
mv_mul(Dense)	double	9000	9000	0.00798286	20.2935
