func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00357591
convert(COO,Dense)	float	2000	2000	0.00578176
convert(COO,Dense)	float	3000	3000	0.0159001
convert(COO,Dense)	float	4000	4000	0.028448
convert(COO,Dense)	float	5000	5000	0.0430048
convert(COO,Dense)	float	6000	6000	0.0602195
convert(COO,Dense)	float	7000	7000	0.0812679
convert(COO,Dense)	float	8000	8000	0.104189
convert(COO,Dense)	float	9000	9000	0.131113
convert(COO,Dense)	float	10000	10000	0.159113
convert(COO,Dense)	double	1000	1000	0.00283892
convert(COO,Dense)	double	2000	2000	0.0107232
convert(COO,Dense)	double	3000	3000	0.0300268
convert(COO,Dense)	double	4000	4000	0.0518747
convert(COO,Dense)	double	5000	5000	0.080275
convert(COO,Dense)	double	6000	6000	0.113227
convert(COO,Dense)	double	7000	7000	0.151798
convert(COO,Dense)	double	8000	8000	0.196605
convert(COO,Dense)	double	9000	9000	0.24782
convert(COO,Dense)	double	10000	10000	0.304465
