func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00190367	1.0506
matvec(Dense)	float	2000	2000	6.32213e-05	126.54
matvec(Dense)	float	3000	3000	0.000171948	104.683
matvec(Dense)	float	4000	4000	0.00491895	6.50545
matvec(Dense)	float	5000	5000	0.00939817	5.32018
matvec(Dense)	float	6000	6000	0.010419	6.91043
matvec(Dense)	float	7000	7000	0.0151359	6.47469
matvec(Dense)	float	8000	8000	0.0203638	6.28567
matvec(Dense)	float	9000	9000	0.0259846	6.23447
matvec(Dense)	float	10000	10000	0.0312227	6.4056
matvec(Dense)	double	1000	1000	0.000131543	15.2041
matvec(Dense)	double	2000	2000	0.000146618	54.5634
matvec(Dense)	double	3000	3000	0.0041473	4.34017
matvec(Dense)	double	4000	4000	0.00924844	3.46004
matvec(Dense)	double	5000	5000	0.0152321	3.28255
matvec(Dense)	double	6000	6000	0.0223734	3.2181
matvec(Dense)	double	7000	7000	0.0308801	3.17356
matvec(Dense)	double	8000	8000	0.0406033	3.15245
matvec(Dense)	double	9000	9000	0.0498649	3.24878
matvec(Dense)	double	10000	10000	0.0511295	3.91164
